github_username,github_name,github_bio,public_repos,followers,following,total_repositories_analyzed,total_stars,total_forks,total_watchers,readme_count,description_count,homepage_count,recent_repo_count,languages_used,language_count
addyosmani,Addy Osmani,Director at Google working on Gemini and  Google Cloud,356,48563,266,100,102919,10476,102919,98,99,45,92,"ActionScript, ApacheConf, C++, CSS, CoffeeScript, Dockerfile, EJS, Go, Groovy, HTML, Haml, JavaScript, Makefile, Nunjucks, PHP, Pug, Python, Rich Text Format, Ruby, Rust, SCSS, Shell, TypeScript, Vim Script, Vue, WGSL",26
getify,Kyle Simpson,Kyle Simpson is a Human-Centric Technologist. He's fighting for the people behind the pixels.,73,45136,3,73,216118,37013,216118,71,65,21,33,"C, C++, CMake, CSS, Go, HTML, Java, JavaScript, Objective-C, Objective-C++, PHP, Perl, Ruby, SCSS, Shell, Swift, TypeScript",17
nilbuild,Kamran Ahmed,I love building things 🧑‍💻,114,40047,198,100,454102,53116,454102,100,95,45,85,"ANTLR, ASP, ASP.NET, ApacheConf, AppleScript, Astro, C#, CSS, CoffeeScript, Dockerfile, EJS, Elixir, Go, HTML, Handlebars, Java, JavaScript, Less, MDX, Makefile, Nearley, Objective-C, PHP, Perl, Python, Roff, Ruby, Rust, SCSS, Scheme, ShaderLab, Shell, Swift, TypeScript, Vue, WebAssembly",36
filipedeschamps,Filipe Deschamps,Quer se sentir competente em programação? Confere isso: https://curso.dev,22,39987,8278,22,14636,2302,14636,20,20,8,22,"C, C#, C++, CMake, CSS, Dart, Elixir, GDScript, GLSL, Go, HCL, HTML, Java, JavaScript, Kotlin, Lua, Makefile, Objective-C, PLpgSQL, Pascal, Python, QMake, Ruby, Rust, SCSS, Shell, Starlark, Svelte, Swift, TypeScript, Vue",31
antfu,Anthony Fu,"A ship in harbor is safe, but that is not what ships are built for.",395,39315,408,100,50337,3661,50337,100,98,36,100,"Astro, C#, CSS, HTML, Handlebars, JavaScript, Python, Shell, Svelte, Swift, TypeScript, Vue",12
IDouble,Alp ₿📈🚀🌕,"🗽 Be greedy when others are fearful and be fearful when others are greedy ☕️ Full-Stack 🖥💻📱⌚️ Finance, Crypto ⛓ (Blockchain, Smart contracts etc.)",61,53042,525371,61,4278,682,4278,60,58,21,61,"ASP.NET, Assembly, Batchfile, Brainfuck, C, C#, C++, CMake, CSS, Dockerfile, FreeMarker, GAP, GLSL, Go, HTML, Hack, Haskell, Java, JavaScript, Jupyter Notebook, Kotlin, Lex, M4, Makefile, NSIS, Objective-C, PHP, PLSQL, PLpgSQL, PowerShell, Python, Ruby, SQLPL, Shell, Solidity, Swift, TSQL, TeX, TypeScript, Vue, XSLT, Xtend, Yacc",43
daimajia,代码家,Coder | Investor | Tech Enthusiast,96,24924,272,96,46970,10784,46970,89,83,31,24,"Batchfile, C, C++, CMake, CSS, CoffeeScript, Dockerfile, Elvish, GLSL, Go, Groovy, HTML, Java, JavaScript, Jupyter Notebook, Kotlin, Lua, MDX, Makefile, Metal, Mustache, Nix, Nushell, Objective-C, Perl, Prolog, Python, Ruby, SCSS, Shell, Smali, Solidity, Swift, TeX, TypeScript, Vue, WebAssembly, Zig",38
apache,The Apache Software Foundation,,3116,22749,0,100,596209,229263,596209,94,100,91,100,"AMPL, ANTLR, ASL, Apex, Arc, Assembly, Awk, Batchfile, BitBake, C, C#, C++, CMake, CQL, CSS, Clojure, Common Lisp, Cuda, Cython, D, DTrace, Dart, DataWeave, Dockerfile, Dune, E, Eiffel, Elixir, Emacs Lisp, Erlang, Euphoria, Fluent, Fortran, FreeMarker, GAP, GDB, Gherkin, Gnuplot, Go, Go Template, Groovy, HCL, HTML, Handlebars, Haskell, Haxe, HiveQL, Java, JavaScript, Jinja, Jsonnet, Jupyter Notebook, Just, Kotlin, Less, Lex, Linker Script, Lua, M4, MATLAB, MDX, Makefile, Mako, Mermaid, Meson, Mustache, NASL, NSIS, Nim, Nix, Nunjucks, OCaml, Objective-C, Objective-C++, Open Policy Agent, PEG.js, PHP, PLSQL, PLpgSQL, POV-Ray SDL, Pascal, Perl, PigLatin, PostScript, PowerShell, Procfile, Pug, Puppet, PureBasic, Python, R, Raku, ReScript, Rich Text Format, RobotFramework, Roff, Ruby, Rust, SAS, SCSS, SQLPL, Sass, Scala, Shell, Smarty, StringTemplate, Swift, TLA, TSQL, Tcl, TeX, Thrift, TypeScript, VBScript, Vala, Vim Script, Vim Snippet, Vue, XQuery, XS, XSLT, Yacc, Zig, mIRC Script, q, sed, templ",127
alibaba,Alibaba,Alibaba Open Source,533,19640,0,100,639425,138671,639425,99,93,56,100,"ANTLR, Ada, AngelScript, Assembly, Awk, Batchfile, BitBake, C, C#, C++, CMake, CSS, CWeb, CodeQL, Cuda, Cypher, Cython, D, DIGITAL Command Language, DTrace, Dart, Dockerfile, EJS, Eiffel, Emacs Lisp, Euphoria, Fortran, FreeMarker, GDB, GLSL, Gherkin, Gnuplot, Go, Go Template, Groovy, HCL, HTML, Handlebars, Java, JavaScript, Jsonnet, Julia, Jupyter Notebook, Kotlin, LLVM, Less, Lex, Linker Script, Lua, M4, MDX, MLIR, Makefile, Max, Mermaid, Meson, Metal, Module Management System, Mustache, NASL, Objective-C, Objective-C++, PHP, PLSQL, PLpgSQL, POV-Ray SDL, Pascal, Pawn, Perl, PowerShell, Python, QMake, R, RPC, Raku, Rez, Roff, Ruby, Rust, SAS, SCSS, SWIG, Scala, Shell, Smarty, Starlark, Stylus, Swift, TSQL, Tcl, TeX, Terra, Thrift, TypeScript, VBScript, Vim Script, Vim Snippet, Vue, XS, XSLT, Xmake, Yacc, mupad",103
chrisbanes,Chris Banes,,61,18909,4,61,36512,9816,36512,59,51,21,26,"Assembly, Batchfile, C, CSS, Dockerfile, Elixir, GLSL, Go, Groovy, HTML, IDL, Java, JavaScript, Kotlin, MDX, Mermaid, Nix, Objective-C, PowerShell, Python, Ruby, SCSS, Shell, Swift, TypeScript",25
Trinea,Trinea,,24,17044,38,24,40610,16482,40610,22,21,18,9,"AIDL, C, C++, CSS, HTML, Java, JavaScript, Makefile, Objective-C, PHP, Python, Ruby, Shell",13
spring-projects,Spring,Spring Projects,80,16375,0,80,230113,152399,230113,78,65,47,71,"ANTLR, ASP.NET, AspectJ, Batchfile, C#, CQL, CSS, Clojure, CoffeeScript, Cypher, D, Dockerfile, FreeMarker, GAP, Go Template, Groovy, HTML, Java, JavaScript, Kotlin, Less, Lua, Makefile, Mustache, PHP, PLSQL, PLpgSQL, Perl, PowerShell, Python, Rich Text Format, Ruby, SCSS, Shell, Smalltalk, Smarty, TSQL, TypeScript, Vim Snippet, Visual Basic .NET, XQuery, XSLT",42
aws,Amazon Web Services,,545,15474,0,100,154720,46411,154720,100,87,39,100,"ANTLR, Alloy, Assembly, Batchfile, BitBake, C, C#, C++, CMake, CSS, Cython, Dafny, Dockerfile, F#, Filebench WML, FreeMarker, Gherkin, Go, Go Template, HCL, HTML, Handlebars, Java, JavaScript, Jinja, Jupyter Notebook, Kotlin, Lex, Linker Script, Lua, M4, MAXScript, Makefile, Mermaid, Mustache, Nix, Objective-C, Objective-C++, PHP, PLpgSQL, Pascal, Pawn, Perl, PowerShell, Procfile, Python, QML, QMake, R, Raku, RenderScript, Rocq Prover, Roff, Ruby, Rust, SCSS, Scilab, Shell, Smarty, Smithy, Starlark, SystemVerilog, Tcl, Twig, TypeScript, VBScript, Velocity Template Language, Verilog, Vue, XSLT, jq",71
in28minutes,,"Helping 1 Million Learners learn Programming, Cloud and DevOps!",105,15268,0,100,34726,40819,34726,93,85,56,66,"CSS, Dockerfile, Gherkin, HCL, HTML, Java, JavaScript, Kotlin, Less, Mustache, PLSQL, Python, Ruby, SCSS, Shell, Smarty, TypeScript, Vue",18
unclebob,Robert C. Martin,Uncle Bob.  Author of Clean Code.,87,14895,1,87,6455,1499,6455,76,70,7,51,"C, C#, C++, CSS, Clojure, Dart, F#, Forth, Gherkin, Go, Groovy, HTML, Java, JavaScript, Less, Lua, Makefile, Python, R, Rich Text Format, Ruby, SCSS, Shell, Swift",24
acenelio,Nelio Alves,"Ajudo estudantes e profissionais de programação a ingressar ou se recolocar na carreira.
20 anos de experiência profissional, mais de 160 mil alunos online. ",290,13865,2,100,3612,2267,3612,6,4,1,43,"Batchfile, C, C#, C++, CSS, HTML, Java, JavaScript, PHP, Python, Shell, TypeScript",12
philipplackner,Philipp Lackner,I post awesome Android stuff on my YouTube channel Philipp Lackner.,313,13203,2,100,6703,3707,6703,21,2,0,100,"CSS, D2, HTML, Haskell, Java, JavaScript, Kotlin, Lua, PureBasic, Ruby, Shell, Swift",12
hongyangAndroid,张鸿洋,学习ing,103,13006,35,100,44869,12836,44869,97,91,17,30,"Assembly, Batchfile, C, C#, C++, CMake, CSS, Dart, FreeBASIC, Go, Groovy, HTML, Haskell, IDL, Java, JavaScript, Kotlin, Makefile, NASL, OCaml, Objective-C, PHP, PLSQL, PowerShell, Python, Ruby, Rust, Shell, Swift, VBA, Visual Basic 6.0, XSLT",32
nedmi16,Nedmi Vidusi Navanjali Abrew,,8,10,8,8,0,0,0,8,4,0,0,"C, C#, C++, CMake, CSS, Dart, HTML, Hack, Java, JavaScript, Kotlin, Objective-C, PHP, SCSS, Swift",15
mbnakaya,Matheus B. Nakaya,Developer at Arcotech,8,10,4,8,1,4,1,7,6,0,1,"Dockerfile, Groovy, Java, Procfile, Python",5
dulaltech101,Durga P. Dulal,"Learn,  Grow, Lead, and Contribute! ",7,10,51,7,0,0,0,7,1,1,0,Jupyter Notebook,1
Aninsi-Sasberg,Aninsi Sasberg,,4,10,39,4,2,1,2,2,3,0,1,"C, Lua, Max, Python",4
entiolliko,Entiol Liko,Master Student at ETH Zurich,6,10,12,6,1,1,1,5,1,0,0,"C, C++, CMake, CSS, Dockerfile, HTML, Java, JavaScript, Jupyter Notebook, Python, Shell",11
Baymin-ty,ty,,3,10,3,3,40,6,40,3,2,1,3,"C, C++, CMake, HTML, JavaScript, Makefile, PowerShell, Shell, Vue",9
gBruno99,,,5,10,9,5,0,2,0,5,5,1,0,"Assembly, Batchfile, C, C++, CMake, Dockerfile, GDB, Jinja, Makefile, Perl, Python, Shell, Tcl",13
pedrotejero,ptejero-,,4,10,14,4,0,0,0,4,4,2,0,"Jupyter Notebook, Makefile, Python",3
eva3381,Eva Flete,,8,10,10,8,0,0,0,2,4,0,8,"C, C++, CSS, Go Template, Makefile, PowerShell, Python, Roff, Shell, XSLT",10
pedrosdev,Pedro A. da Silva,,10,10,19,10,0,0,0,10,3,0,0,"Batchfile, CSS, Groovy, HTML, JavaScript, Shell",6
zeinalpour,mohammad zeinalpour,,8,10,14,8,1,0,1,6,3,0,0,"Assembly, Awk, C, C++, Clojure, Dockerfile, Gherkin, HTML, JavaScript, Jupyter Notebook, Lex, M4, MATLAB, Makefile, Perl, Python, Raku, Roff, Rust, Shell, SmPL, UnrealScript, XS, Yacc, sed",25
Xrief,Arief Pratama,,4,10,6,4,0,1,0,2,0,0,0,"Blade, HTML, JavaScript, PHP",4
FabioBarbirato,Fábio Barbirato,"Full Stack Web Student | Trybe

Bacharelado  em Sistemas de Informação

Nerd nas horas vagas... ",5,10,6,5,1,0,1,3,3,0,0,"CSS, HTML, JavaScript",3
Omeralbayrak17,Ömer Albayrak,Android enthusiast,4,10,11,4,1,0,1,4,0,0,0,"C, C++, CMake, Dart, HTML, Kotlin, Objective-C, Swift",8
J-Edson2,João edson,,10,10,8,10,1,1,1,5,0,0,0,"C, C++, Java, Python",4
MengzSun,,,6,5,0,6,60,9,60,6,2,0,2,Python,1
Modern-Realm,,"A small org of developers, who work on open source projects",7,5,0,7,116,38,116,6,6,6,1,"JavaScript, Python",2
einav77,,,8,5,2,8,0,0,0,1,1,1,0,"Assembly, Batchfile, C, C++, CMake, CSS, Dart, HTML, JavaScript, Kotlin, Objective-C, PowerShell, Python, Swift",14
Dualceilucas,Dualcei Lucas,,4,5,3,4,0,0,0,4,4,1,0,"Jupyter Notebook, Python",2
sallywoolweaverSchool,,,8,5,0,8,0,27,0,6,0,0,1,"CSS, Python",2
NReedAlexander,Reed Alexander,I'm a PhD student in Molecular Biosciences at Middle Tennessee State University. I research soil microbiomes and patterns of assemblage succession.,5,5,3,5,2,0,2,5,4,0,0,"Jupyter Notebook, Perl, Python, Shell, Vim Script",5
RevanzaXD,REVANZAA,Manut alure kanjeng gusti,3,5,0,3,2,0,2,3,0,0,2,Python,1
WangYZ1608,wangyz,落霞与孤鹜齐飞，秋水共长天一色。,8,5,3,8,33,5,33,7,8,3,2,"Batchfile, C, C++, CSS, Cuda, Dockerfile, Jupyter Notebook, Makefile, Objective-C++, Python, Shell",11
sarveshborole,,,5,5,2,5,0,0,0,5,1,0,0,"CSS, Java, JavaScript, Python",4
cessvalerie,Princess,,4,5,7,4,0,0,0,4,1,0,0,Python,1
